element_i_token,element_j_token,calibration_reference_graphs,calibration_sampled_graphs,test_reference_graphs,test_sampled_graphs
6,68,18,31,27,26
6,69,9,3,5,7
6,71,43,29,32,30
6,72,30,25,28,17
6,73,20,19,12,16
6,74,17,14,10,12
6,75,3,8,8,9
6,76,9,15,5,16
6,77,6,13,18,18
6,78,18,7,16,8
6,79,28,13,25,12
6,80,26,22,13,25
6,81,26,8,16,11
6,82,12,4,13,16
7,8,71,43,61,45
7,10,211,188,196,182
7,11,86,76,83,93
7,12,56,60,59,44
7,13,27,39,33,32
7,14,69,90,59,68
7,15,53,42,78,50
7,16,9,22,16,13
7,18,207,167,230,168
7,19,138,128,155,122
7,20,82,74,98,66
7,21,94,90,96,92
7,22,119,112,116,105
7,23,82,92,98,83
7,24,140,121,103,129
7,25,85,51,96,77
7,27,83,92,90,64
7,28,95,93,93,91
7,29,63,43,80,49
7,30,56,62,57,48
7,31,47,58,40,44
7,32,74,66,85,55
7,33,43,42,48,39
7,34,12,11,17,9
7,36,174,135,179,126
7,37,154,196,192,203
7,38,78,77,85,77
7,39,46,39,55,44
7,40,67,68,79,50
7,41,64,72,57,81
7,43,60,52,57,51
7,44,84,68,71,64
7,45,57,66,54,69
7,46,77,64,72,56
7,47,97,51,99,71
7,48,85,74,82,76
7,49,65,49,73,53
7,50,77,69,86,49
7,51,60,71,71,46
7,52,41,35,39,42
7,54,94,87,109,89
7,55,217,170,177,175
7,56,98,110,95,93
7,57,65,79,70,81
7,58,102,67,84,66
7,59,83,88,75,70
7,61,71,56,73,61
7,62,40,19,36,15
7,63,23,11,17,11
7,64,105,61,89,61
7,65,85,62,68,56
7,66,71,55,71,76
7,67,64,59,85,43
7,68,71,62,78,48
7,69,22,13,26,16
7,70,9,14,13,21
7,71,36,45,47,39
7,72,65,43,64,53
7,73,79,58,81,61
7,74,37,24,42,33
7,75,66,67,57,49
7,76,77,56,83,72
7,77,43,59,35,41
7,78,40,18,36,25
7,79,53,53,45,41
7,80,132,104,148,99
7,81,101,85,137,84
7,82,139,137,142,114
8,10,133,126,110,120
8,11,34,26,21,39
8,12,21,21,17,25
8,13,9,1,6,3
8,14,8,8,7,7
8,15,8,9,11,7
8,16,6,8,4,6
8,18,138,146,182,137
8,19,57,37,34,27
8,20,21,17,13,13
8,21,18,14,17,16
8,22,31,34,47,34
8,23,39,33,27,23
8,24,51,50,53,43
8,25,28,20,27,23
8,26,31,34,31,24
8,27,43,33,30,35
8,28,58,69,58,58
8,29,49,40,49,41
8,30,26,25,29,21
8,31,5,9,19,6
8,32,16,15,15,2
8,33,8,2,4,3
8,34,5,3,7,6
8,36,142,133,161,133
8,37,51,47,34,30
8,38,17,12,19,14
8,39,12,15,7,14
8,40,10,9,7,6
8,41,12,7,20,19
8,43,13,7,7,12
8,44,16,27,18,15
8,45,29,24,27,18
8,46,103,78,77,69
8,47,51,39,37,39
8,48,32,30,31,47
8,49,27,24,27,26
8,50,13,12,11,6
8,52,4,13,10,10
8,54,135,128,139,133
8,55,62,41,39,37
8,56,18,12,13,17
8,57,14,22,19,29
8,58,13,15,13,9
8,59,11,8,10,14
8,61,13,19,13,16
8,62,6,5,6,6
8,64,15,9,20,17
8,65,13,16,17,14
8,66,12,6,15,9
8,67,16,12,6,18
8,68,18,9,20,14
8,73,8,8,3,4
8,76,9,9,14,9
8,77,7,10,7,15
8,78,15,17,16,14
8,79,58,51,63,65
8,80,141,98,117,95
8,81,52,33,40,33
8,82,20,17,15,24
10,11,55,67,60,79
10,12,36,40,36,44
10,13,13,13,15,15
10,14,35,33,29,25
10,15,129,113,129,132
10,16,112,112,99,100
10,18,148,131,123,146
10,19,66,57,62,50
10,20,57,46,42,40
10,21,21,22,38,24
10,22,28,27,26,34
10,23,28,34,31,28
10,24,61,47,51,41
10,25,20,14,16,18
10,26,20,19,21,19
10,27,35,30,41,38
10,28,64,68,74,66
10,29,57,59,70,66
10,30,74,62,76,81
10,31,46,38,47,35
10,32,48,50,56,40
10,33,144,132,127,124
10,34,88,84,89,78
10,36,102,130,110,102
10,37,88,66,57,80
10,38,43,51,35,43
10,39,36,35,34,37
10,40,17,7,24,7
10,41,13,7,14,14
10,43,12,8,12,14
10,44,34,37,45,35
10,45,85,78,97,77
10,46,99,102,96,126
10,47,134,154,123,177
10,48,116,149,147,167
10,49,122,122,115,116
10,50,66,60,63,55
10,51,85,108,96,104
10,52,71,51,68,68
10,54,100,96,93,92
10,55,100,89,82,91
10,56,45,32,38,33
10,57,44,48,45,66
10,58,41,33,25,24
10,59,30,38,35,24
10,61,35,40,37,41
10,62,16,5,14,8
10,64,47,42,39,49
10,65,36,42,33,40
10,66,33,36,33,43
10,67,34,35,31,41
10,68,39,48,35,33
10,71,31,30,25,31
10,72,17,16,11,19
10,73,13,10,14,5
10,74,6,1,6,4
10,75,17,12,12,11
10,76,44,17,32,27
10,77,43,43,41,53
10,78,86,83,76,91
10,79,164,180,124,168
10,80,180,179,164,167
10,81,109,94,133,101
10,82,101,107,84,89
11,12,61,71,54,70
11,13,30,26,37,29
11,14,10,11,12,19
11,15,26,28,32,28
11,16,29,30,24,32
11,18,36,43,34,39
11,19,86,81,77,87
11,20,74,77,72,66
11,21,12,19,13,14
11,22,12,8,13,14
11,23,8,9,7,13
11,24,19,23,19,27
11,25,14,19,8,20
11,26,20,26,28,26
11,27,58,67,52,58
11,28,63,89,64,77
11,29,130,132,128,114
11,30,91,125,112,125
11,31,28,33,34,52
11,32,10,27,9,25
11,33,20,39,23,31
11,34,23,20,26,27
11,36,34,36,34,38
11,37,73,81,89,93
11,38,89,78,76,82
11,39,40,38,35,23
11,40,11,10,5,11
11,41,3,4,5,8
11,43,16,27,20,29
11,44,73,92,93,72
11,45,83,85,88,96
11,46,104,125,98,133
11,47,146,158,142,108
11,48,138,127,105,163
11,49,72,72,74,65
11,50,17,20,24,21
11,51,17,40,28,41
11,52,11,21,11,26
11,54,27,31,27,36
11,55,77,54,75,71
11,56,83,93,87,78
11,57,32,60,30,71
11,58,85,93,83,82
11,59,66,110,74,85
11,61,72,80,65,74
11,62,13,15,23,14
11,64,83,109,96,86
11,65,75,107,65,77
11,66,83,94,67,107
11,67,72,100,79,95
11,68,74,98,74,89
11,69,8,6,3,1
11,70,27,31,23,22
11,71,16,19,17,25
11,72,7,11,6,7
11,73,9,3,5,7
11,75,13,14,9,14
11,76,43,40,43,54
11,77,76,67,61,73
11,78,84,68,70,77
11,79,97,104,104,100
11,80,105,112,114,98
11,81,68,62,85,68
11,82,34,38,27,39
12,13,62,51,58,46
12,14,12,13,13,12
12,15,41,29,33,26
12,16,12,14,10,25
12,18,24,29,24,21
12,19,56,52,65,58
12,20,74,64,85,91
12,21,35,29,39,36
12,22,18,9,22,10
12,23,23,16,17,15
12,24,41,44,37,34
12,25,47,28,45,37
12,26,39,44,40,36
12,27,73,90,76,108
12,28,97,136,101,130
12,29,130,130,108,97
12,30,103,102,113,86
12,31,43,50,49,60
12,32,7,12,5,12
12,33,21,22,20,26
12,34,6,11,15,13
12,36,31,35,17,20
12,37,59,63,65,56
12,38,84,74,92,60
12,39,31,53,34,52
12,40,16,23,21,14
12,41,7,13,7,7
12,43,27,42,39,33
12,44,55,58,39,69
12,45,97,107,93,106
12,46,126,77,101,92
12,47,41,40,51,55
12,48,46,55,58,70
12,49,45,19,29,46
12,50,15,11,13,14
12,51,20,20,25,19
12,52,10,18,4,18
12,54,21,15,14,17
12,55,51,37,38,34
12,56,76,68,98,87
12,57,56,67,55,89
12,58,83,71,88,72
12,59,63,106,61,96
12,61,78,88,86,82
12,62,13,4,11,13
12,64,77,91,90,100
12,65,92,69,82,63
12,66,86,82,83,94
12,67,90,70,82,66
12,68,73,68,70,75
12,69,12,8,11,11
12,70,28,45,28,34
12,71,27,27,31,30
12,72,17,8,16,13
12,73,7,3,9,5
12,74,11,3,9,9
12,75,23,12,20,29
12,76,53,57,31,50
12,77,77,101,87,103
12,78,125,86,109,91
12,79,53,30,34,33
12,80,40,39,27,34
12,81,10,22,6,18
12,82,16,18,7,19
13,14,18,23,17,15
13,15,26,19,21,19
13,16,13,11,12,9
13,18,8,14,6,10
13,19,48,46,62,45
13,20,36,55,32,46
13,21,17,18,18,29
13,22,17,11,11,15
13,23,11,12,8,18
13,24,38,49,28,37
13,25,44,39,44,47
13,26,44,56,35,64
13,27,92,104,78,118
13,28,60,74,75,85
13,29,41,32,43,47
13,30,40,40,44,52
13,31,35,38,35,37
13,32,18,10,10,14
13,33,33,21,16,26
13,34,15,21,11,12
13,36,8,9,6,5
13,37,42,43,43,43
13,38,51,53,52,62
13,39,21,28,16,34
13,40,15,13,7,11
13,41,5,15,3,8
13,43,39,54,45,71
13,44,96,77,76,84
13,45,68,85,69,79
13,46,17,24,18,21
13,47,12,13,8,18
13,48,15,22,21,23
13,49,13,15,12,14
13,50,5,13,5,10
13,51,27,18,29,14
13,52,14,21,18,22
13,54,10,6,5,9
13,55,25,22,21,28
13,56,55,65,66,56
13,57,52,89,58,97
13,58,72,67,61,57
13,59,74,87,61,74
13,61,56,78,55,64
13,62,8,6,7,6
13,64,57,69,49,69
13,65,55,48,37,66
13,66,59,56,49,46
13,67,54,62,59,55
13,68,49,31,54,43
13,69,9,8,8,9
13,70,7,12,7,13
13,71,14,23,16,17
13,72,10,15,13,8
13,74,10,6,13,7
13,75,37,30,23,25
13,76,67,76,89,77
13,77,92,106,107,109
13,78,49,33,54,41
13,79,12,17,12,10
13,80,5,9,7,15
13,81,14,10,8,11
13,82,4,8,5,7
14,15,75,56,70,50
14,16,34,22,25,32
14,18,29,38,24,24
14,19,42,32,35,22
14,20,30,19,32,21
14,21,11,8,8,15
14,22,10,5,6,3
14,23,7,9,8,6
14,24,21,19,10,22
14,25,22,16,15,14
14,26,26,30,36,19
14,27,49,56,55,39
14,28,36,52,32,43
14,29,17,19,21,19
14,30,16,12,11,15
14,31,31,14,20,29
14,32,49,39,50,30
14,33,48,56,44,45
14,34,33,23,32,20
14,36,31,27,29,33
14,37,38,49,42,26
14,38,34,36,27,29
14,39,18,15,12,20
14,43,24,22,23,20
14,44,40,44,32,39
14,45,40,41,46,49
14,46,14,12,11,15
14,47,12,17,11,6
14,48,13,21,15,18
14,49,20,16,15,16
14,50,19,18,19,13
14,51,38,30,32,29
14,52,30,21,27,25
14,54,26,21,20,17
14,55,43,46,47,40
14,56,54,59,66,47
14,57,49,84,65,66
14,58,64,50,52,44
14,59,64,42,47,44
14,61,47,42,33,53
14,62,8,7,10,6
14,64,39,37,34,42
14,65,34,42,33,37
14,66,33,31,35,34
14,67,31,34,28,26
14,68,29,29,30,27
14,69,5,6,7,2
14,71,14,16,7,17
14,75,14,7,9,9
14,76,31,21,22,17
14,77,34,46,34,21
14,78,17,18,11,21
14,79,13,8,7,14
14,80,18,25,20,25
14,81,16,18,14,18
14,82,13,15,16,17
15,16,15,13,34,12
15,18,114,140,82,122
15,19,36,48,29,43
15,20,84,97,85,86
15,21,44,40,50,51
15,22,14,31,28,31
15,23,39,29,33,54
15,24,59,57,59,55
15,25,8,20,9,15
15,26,16,14,19,14
15,27,38,28,24,27
15,28,65,80,61,78
15,29,19,26,22,26
15,30,25,21,18,25
15,31,44,44,36,38
15,32,54,58,60,53
15,33,28,31,33,26
15,34,33,17,39,10
15,36,83,98,82,104
15,37,23,41,41,50
15,38,115,134,96,132
15,39,54,60,46,58
15,40,14,20,20,22
15,41,15,11,12,9
15,44,11,18,24,22
15,45,19,21,15,24
15,46,63,57,73,51
15,47,19,30,23,28
15,48,50,60,52,53
15,49,55,66,51,49
15,50,46,49,49,51
15,51,33,27,36,16
15,52,25,23,27,22
15,54,67,73,73,81
15,55,42,34,48,47
15,56,77,95,78,71
15,57,102,147,91,142
15,58,94,101,81,95
15,59,104,106,93,107
15,61,101,122,95,95
15,62,7,3,3,3
15,64,119,126,109,104
15,65,108,129,110,120
15,66,103,122,109,117
15,67,111,100,96,104
15,68,104,119,83,124
15,70,3,3,7,9
15,71,27,53,44,47
15,72,26,24,20,26
15,73,11,8,6,6
15,76,10,10,11,11
15,77,13,12,5,11
15,78,22,12,21,21
15,79,38,45,44,39
15,80,107,121,120,116
15,81,47,40,53,38
15,82,58,53,49,52
16,18,137,139,148,174
16,19,48,43,38,33
16,20,26,17,18,14
16,21,11,15,14,16
16,22,16,19,16,20
16,23,20,24,25,23
16,24,48,49,45,38
16,25,34,26,28,29
16,26,31,28,38,36
16,27,18,26,23,20
16,28,91,84,90,86
16,29,31,23,34,26
16,30,28,26,27,36
16,31,35,37,31,30
16,32,21,16,23,18
16,33,8,13,6,10
16,34,8,11,12,12
16,36,177,164,148,168
16,37,40,35,48,45
16,38,19,20,14,20
16,39,8,12,10,11
16,40,5,7,8,11
16,41,7,8,7,12
16,43,21,18,20,14
16,44,23,12,18,22
16,45,18,27,23,28
16,46,111,98,129,91
16,47,32,44,39,36
16,48,59,65,66,86
16,49,45,49,55,47
16,50,16,18,19,15
16,51,17,9,15,12
16,52,11,10,22,9
16,54,149,153,151,149
16,55,50,38,42,39
16,56,40,47,46,35
16,57,33,41,35,27
16,58,51,26,38,28
16,59,31,37,34,27
16,61,23,25,25,17
16,64,17,15,27,10
16,65,12,15,13,21
16,66,10,20,13,16
16,67,14,9,18,13
16,68,15,17,11,17
16,71,9,12,4,15
16,75,19,12,5,15
16,76,22,20,16,18
16,77,19,27,21,20
16,78,27,18,26,26
16,79,55,40,40,60
16,80,142,129,137,129
16,81,45,42,61,50
16,82,20,32,13,20
18,19,26,46,32,34
18,20,32,48,41,30
18,21,29,37,29,35
18,22,29,28,33,23
18,23,24,33,26,31
18,24,48,41,50,62
18,25,24,22,23,22
18,26,20,20,30,21
18,27,28,35,22,30
18,28,66,81,80,80
18,29,49,42,46,62
18,30,42,49,46,49
18,31,25,30,33,33
18,32,39,43,45,36
18,33,119,130,103,116
18,34,120,131,134,115
18,36,144,122,144,135
18,37,45,45,33,53
18,38,24,33,33,38
18,39,33,32,29,43
18,40,21,13,23,18
18,41,13,11,11,13
18,43,18,12,7,10
18,44,39,35,27,30
18,45,38,51,45,48
18,46,105,91,113,89
18,47,103,91,96,115
18,48,102,109,90,92
18,49,73,95,89,87
18,50,68,53,59,56
18,51,108,100,92,105
18,52,92,97,94,103
18,54,118,112,136,92
18,55,47,44,28,45
18,56,25,26,23,29
18,57,41,60,45,47
18,58,26,34,26,27
18,59,31,45,38,34
18,61,39,40,24,30
18,62,4,6,4,5
18,64,36,28,41,30
18,65,31,28,34,26
18,66,22,35,34,28
18,67,35,26,28,31
18,68,28,47,30,36
18,71,17,26,25,32
18,72,12,13,16,8
18,73,14,5,12,9
18,74,8,3,8,2
18,75,13,9,9,8
18,76,29,19,22,19
18,77,45,45,37,31
18,78,94,71,88,89
18,79,124,104,131,115
18,80,143,99,147,138
18,81,83,58,82,79
18,82,71,76,66,55
19,20,21,31,20,29
19,21,12,12,7,22
19,22,12,7,10,5
19,23,4,12,8,7
19,24,34,30,29,11
19,25,16,15,23,19
19,26,20,18,21,16
19,27,66,54,50,28
19,28,84,62,72,67
19,29,121,83,111,98
19,30,109,101,92,103
19,31,60,59,54,60
19,32,44,32,51,41
19,33,37,40,46,47
19,34,37,26,37,33
19,36,32,33,21,24
19,37,99,85,81,70
19,38,53,40,61,46
19,39,14,20,4,13
19,40,10,9,8,5
19,41,3,5,8,7
19,43,12,15,24,19
19,44,66,59,65,58
19,45,118,93,99,101
19,46,118,89,97,82
19,47,107,99,95,107
19,48,96,92,92,103
19,49,85,71,76,68
19,50,38,25,47,27
19,51,50,50,50,39
19,52,39,28,24,25
19,54,32,25,31,29
19,55,76,60,66,62
19,56,66,46,60,57
19,57,34,61,37,53
19,58,66,51,52,39
19,59,60,45,60,48
19,61,39,53,51,39
19,62,15,9,18,5
19,64,37,35,37,37
19,65,33,37,41,41
19,66,37,45,37,32
19,67,32,33,23,36
19,68,33,36,37,30
19,70,13,6,8,11
19,71,17,16,9,11
19,72,11,7,12,7
19,73,7,9,14,9
19,75,9,9,13,6
19,76,39,26,39,43
19,77,64,69,58,62
19,78,102,86,88,79
19,79,97,79,77,65
19,80,79,74,87,76
19,81,57,54,60,65
19,82,45,39,62,47
20,21,26,27,16,21
20,22,9,11,10,8
20,23,11,8,10,11
20,24,17,21,15,16
20,25,24,15,25,22
20,26,43,55,41,49
20,27,50,61,59,64
20,28,65,72,53,60
20,29,95,67,85,79
20,30,84,65,71,71
20,31,44,31,30,41
20,32,21,19,29,22
20,33,92,104,86,80
20,34,12,16,22,17
20,36,29,34,28,22
20,37,9,24,12,18
20,38,128,126,126,107
20,39,61,52,66,48
20,40,3,16,9,7
20,43,55,56,37,50
20,44,69,72,44,53
20,45,60,76,65,44
20,46,55,49,71,67
20,47,64,73,60,74
20,48,85,97,66,77
20,49,42,36,40,30
20,50,25,24,29,18
20,51,72,99,88,89
20,52,15,23,17,17
20,54,33,28,24,26
20,55,15,18,13,12
20,56,59,76,59,70
20,57,47,50,46,68
20,58,72,85,67,61
20,59,72,89,86,95
20,61,96,99,86,80
20,64,128,121,116,117
20,65,125,140,123,105
20,66,125,133,125,113
20,67,129,115,131,118
20,68,145,120,143,104
20,70,23,27,20,29
20,71,28,28,27,35
20,72,16,8,10,7
20,75,23,20,29,20
20,76,54,58,38,47
20,77,49,46,53,55
20,78,42,47,38,42
20,79,63,43,43,48
20,80,94,63,94,70
20,81,27,26,42,34
20,82,28,34,35,29
21,22,22,24,26,24
21,23,16,20,16,17
21,24,33,37,38,35
21,25,21,24,34,25
21,26,36,46,47,39
21,27,29,45,39,48
21,28,41,34,33,44
21,29,51,26,41,40
21,30,45,28,38,35
21,31,10,15,15,27
21,32,9,4,14,4
21,33,36,32,48,39
21,36,25,20,31,23
21,37,13,12,13,22
21,38,10,11,5,15
21,39,31,22,39,27
21,40,26,26,35,22
21,41,9,29,11,27
21,43,14,23,29,25
21,44,36,30,36,52
21,45,37,34,42,31
21,46,11,16,10,18
21,47,11,15,15,11
21,48,30,21,28,27
21,49,16,22,20,14
21,50,12,8,16,8
21,51,22,34,30,25
21,52,13,10,7,12
21,54,15,14,16,4
21,55,10,8,14,13
21,56,6,15,14,9
21,57,8,9,8,21
21,58,8,6,11,12
21,59,10,10,7,16
21,61,13,6,8,11
21,64,10,9,8,17
21,65,7,10,7,9
21,66,9,5,10,7
21,67,5,15,8,13
21,68,4,14,11,12
21,71,33,23,46,28
21,72,30,15,30,20
21,73,10,11,14,12
21,74,12,6,21,16
21,75,23,16,17,23
21,76,39,36,30,41
21,77,27,33,31,20
21,78,22,13,14,14
21,79,15,8,12,18
21,80,27,20,33,21
21,81,11,8,19,16
21,82,23,15,15,19
22,23,31,24,25,31
